passes,init_partial0F,init_relgap,final_relgap,nnz_solution,randomize,strategy,times,dataset,warm_start,reg_grid,lambdamax,start_kind,ordering
5,100.0,0.11870910076930719,5.731545379950945e-9,0,false,gradient,0.03392505645751953,simulated,false,1.0,64.19253505215202,cold,cyclic
13,100.0,0.1598475699784372,6.319952201498407e-9,10,false,gradient,0.26627683639526367,simulated,false,0.756646727558943,64.19253505215202,cold,cyclic
16,100.0,0.24539047426054683,8.506814572513592e-9,11,false,gradient,0.11396408081054688,simulated,false,0.5725142703256574,64.19253505215202,cold,cyclic
19,100.0,0.3443128402442381,6.424307325917121e-9,14,false,gradient,0.10476899147033691,simulated,false,0.43319104912270473,64.19253505215202,cold,cyclic
22,100.0,0.4423099034504825,9.673193158524941e-9,20,false,gradient,0.12815022468566895,simulated,false,0.32777258972651985,64.19253505215202,cold,cyclic
28,100.0,0.5327346190923794,7.467156215214065e-9,39,false,gradient,0.16178488731384277,simulated,false,0.2480080574000913,64.19253505215202,cold,cyclic
37,100.0,0.6128599453938585,7.041397918896685e-9,64,false,gradient,0.284074068069458,simulated,false,0.18765448504002957,64.19253505215202,cold,cyclic
51,100.0,0.6820297979373803,7.535967431372499e-9,100,false,gradient,0.4554719924926758,simulated,false,0.14198815201729703,64.19253505215202,cold,cyclic
73,100.0,0.7406644721933645,7.933499182318534e-9,133,false,gradient,0.6982500553131104,simulated,false,0.10743487057602952,64.19253505215202,cold,cyclic
99,100.0,0.7897047968455836,9.71144707306008e-9,153,false,gradient,0.7298259735107422,simulated,false,0.08129024324707132,64.19253505215202,cold,cyclic
137,100.0,0.8302982601575181,9.71181152762786e-9,167,false,gradient,0.9035868644714355,simulated,false,0.06150799653536698,64.19253505215202,cold,cyclic
195,100.0,0.8636241363397819,9.318443756807621e-9,181,false,gradient,1.3121569156646729,simulated,false,0.04653982429719224,64.19253505215202,cold,cyclic
267,100.0,0.8908001350011554,9.400964459041159e-9,194,false,gradient,2.1059350967407227,simulated,false,0.03521420575563868,64.19253505215202,cold,cyclic
300,100.0,0.9128371285527405,2.3301785091213263e-7,200,false,gradient,2.0155351161956787,simulated,false,0.026644713548591308,64.19253505215202,cold,cyclic
300,100.0,0.9306219834740698,9.032939867092322e-6,209,false,gradient,2.0001370906829834,simulated,false,0.02016063531328705,64.19253505215202,cold,cyclic
300,100.0,0.9449163945000076,0.00012383429474718938,208,false,gradient,2.1892309188842773,simulated,false,0.015254478735307905,64.19253505215202,cold,cyclic
300,100.0,0.95636435774686,0.0010793081233777288,215,false,gradient,2.0023000240325928,simulated,false,0.011542251415688211,64.19253505215202,cold,cyclic
300,100.0,0.9655038244899873,0.006266073904974186,218,false,gradient,2.212071180343628,simulated,false,0.008733406762343065,64.19253505215202,cold,cyclic
300,100.0,0.972779880236669,0.023926328211745382,228,false,gradient,2.0484468936920166,simulated,false,0.006608103647168024,64.19253505215202,cold,cyclic
300,100.0,0.9785579174514318,0.05551836797718681,232,false,gradient,2.106034994125366,simulated,false,0.005000000000000002,64.19253505215202,cold,cyclic
5,100.0,0.11870910076930719,5.731545379950945e-9,0,false,gradient,0.024299144744873047,simulated,true,1.0,64.19253505215202,warm,cyclic
13,0.019174031301166128,0.04667978990865885,4.582415123981238e-9,10,false,gradient,0.23023700714111328,simulated,true,0.756646727558943,64.19253505215202,warm,cyclic
17,6.564813437304196e-8,0.04256810140755637,6.0317042572814566e-9,11,false,gradient,0.11565995216369629,simulated,true,0.5725142703256574,64.19253505215202,warm,cyclic
18,4.493644378822381e-8,0.036838219596899875,5.877836820102913e-9,14,false,gradient,0.10245609283447266,simulated,true,0.43319104912270473,64.19253505215202,warm,cyclic
21,1.7463472512524447e-7,0.03408187082263431,4.64935782754734e-9,20,false,gradient,0.11627912521362305,simulated,true,0.32777258972651985,64.19253505215202,warm,cyclic
25,5.75127602764347e-7,0.032382587004345396,9.617716846014436e-9,39,false,gradient,0.13593697547912598,simulated,true,0.2480080574000913,64.19253505215202,warm,cyclic
33,1.6825924156194105e-6,0.03074605988208381,9.522598645270382e-9,64,false,gradient,0.18573904037475586,simulated,true,0.18765448504002957,64.19253505215202,warm,cyclic
46,1.2077601385662717e-6,0.028549703985834295,9.391752675190548e-9,100,false,gradient,0.27410101890563965,simulated,true,0.14198815201729703,64.19253505215202,warm,cyclic
67,6.83026152970001e-7,0.02539469144233284,8.01547808330176e-9,133,false,gradient,0.5989120006561279,simulated,true,0.10743487057602952,64.19253505215202,warm,cyclic
91,4.5667118081516023e-7,0.021767526074809775,8.518251888602879e-9,153,false,gradient,0.5835700035095215,simulated,true,0.08129024324707132,64.19253505215202,warm,cyclic
124,4.5232669287909033e-7,0.01879219354271475,9.863478675007452e-9,167,false,gradient,0.7948498725891113,simulated,true,0.06150799653536698,64.19253505215202,warm,cyclic
176,6.103189009801224e-7,0.01649899155226614,9.578303978978622e-9,181,false,gradient,1.1353940963745117,simulated,true,0.04653982429719224,64.19253505215202,warm,cyclic
237,4.7604913293308737e-7,0.014684469728089632,9.937248130724712e-9,194,false,gradient,1.7503869533538818,simulated,true,0.03521420575563868,64.19253505215202,warm,cyclic
